Java HotSpot(TM) Client VM (25.101-b13) for windows-x86 JRE (1.8.0_101-b13), built on Jun 22 2016 00:45:44 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8299396k(2427440k free), swap 11051908k(2527484k free)
CommandLine flags: -XX:InitialHeapSize=16777216 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation 
4.344: [GC (Allocation Failure) 4.344: [DefNew: 4563K->84K(4992K), 0.0006439 secs] 10857K->6378K(15936K), 0.0007042 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.346: [GC (Allocation Failure) 4.346: [DefNew: 4541K->91K(4992K), 0.0005655 secs] 10835K->6384K(15936K), 0.0006121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.348: [GC (Allocation Failure) 4.348: [DefNew: 4555K->96K(4992K), 0.0005190 secs] 10848K->6390K(15936K), 0.0005625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.349: [GC (Allocation Failure) 4.349: [DefNew: 4533K->102K(4992K), 0.0005190 secs] 10827K->6396K(15936K), 0.0005626 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.351: [GC (Allocation Failure) 4.351: [DefNew: 4560K->107K(4992K), 0.0005054 secs] 10853K->6400K(15936K), 0.0005709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.614: [GC (Allocation Failure) 4.614: [DefNew: 4583K->511K(4992K), 0.0012310 secs] 10877K->6836K(15936K), 0.0013094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.737: [GC (Allocation Failure) 4.737: [DefNew: 4991K->510K(4992K), 0.0010068 secs] 11316K->7072K(15936K), 0.0010543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.856: [GC (Allocation Failure) 4.856: [DefNew: 4990K->502K(4992K), 0.0016752 secs] 11552K->7184K(15936K), 0.0017304 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
4.956: [GC (Allocation Failure) 4.956: [DefNew: 4982K->511K(4992K), 0.0020229 secs] 11664K->7310K(15936K), 0.0021180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.045: [GC (Allocation Failure) 5.045: [DefNew: 4991K->482K(4992K), 0.0020388 secs] 11790K->7436K(15936K), 0.0021338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.140: [GC (Allocation Failure) 5.140: [DefNew: 4962K->507K(4992K), 0.0022244 secs] 11916K->7655K(15936K), 0.0022862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.268: [GC (Allocation Failure) 5.268: [DefNew: 4987K->512K(4992K), 0.0031036 secs] 12135K->7992K(15936K), 0.0031618 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.369: [GC (Allocation Failure) 5.370: [DefNew: 4992K->511K(4992K), 0.0025486 secs] 12472K->8366K(15936K), 0.0025987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.434: [GC (Allocation Failure) 5.434: [DefNew: 4991K->511K(4992K), 0.0022441 secs] 12846K->8696K(15936K), 0.0022962 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
6.177: [GC (Allocation Failure) 6.177: [DefNew: 4991K->512K(4992K), 0.0042208 secs] 13176K->9186K(15936K), 0.0043052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.239: [GC (Allocation Failure) 6.239: [DefNew: 4992K->498K(4992K), 0.0031048 secs] 13666K->9503K(15936K), 0.0031946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
