Java HotSpot(TM) Client VM (25.101-b13) for windows-x86 JRE (1.8.0_101-b13), built on Jun 22 2016 00:45:44 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8299396k(1884572k free), swap 13394472k(2597324k free)
CommandLine flags: -XX:InitialHeapSize=16777216 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation 
1.463: [GC (Allocation Failure) 1.463: [DefNew: 4699K->219K(4992K), 0.0007504 secs] 11350K->6870K(15936K), 0.0008044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.465: [GC (Allocation Failure) 1.465: [DefNew: 4679K->258K(4992K), 0.0007431 secs] 11330K->6909K(15936K), 0.0008114 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.467: [GC (Allocation Failure) 1.467: [DefNew: 4700K->113K(4992K), 0.0009551 secs] 11351K->6910K(15936K), 0.0010475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.469: [GC (GCLocker Initiated GC) 1.469: [DefNew: 4648K->270K(4992K), 0.0008687 secs] 11445K->7066K(15936K), 0.0009224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.482: [GC (Allocation Failure) 1.482: [DefNew: 4750K->511K(4992K), 0.0013176 secs] 11546K->7516K(15936K), 0.0013758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.504: [GC (Allocation Failure) 1.504: [DefNew: 4991K->439K(4992K), 0.0025955 secs] 11996K->7670K(15936K), 0.0026808 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.543: [GC (Allocation Failure) 1.543: [DefNew: 4919K->511K(4992K), 0.0028862 secs] 12150K->7970K(15936K), 0.0029535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.579: [GC (Allocation Failure) 1.579: [DefNew: 4991K->474K(4992K), 0.0027406 secs] 12450K->8323K(15936K), 0.0028184 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.611: [GC (Allocation Failure) 1.611: [DefNew: 4954K->511K(4992K), 0.0058873 secs] 12803K->8652K(15936K), 0.0060298 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.649: [GC (Allocation Failure) 1.649: [DefNew: 4991K->511K(4992K), 0.0031694 secs] 13132K->9101K(15936K), 0.0032397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.678: [GC (Allocation Failure) 1.678: [DefNew: 4991K->510K(4992K), 0.0027990 secs] 13581K->9518K(15936K), 0.0028614 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.715: [GC (Allocation Failure) 1.715: [DefNew: 4990K->511K(4992K), 0.0022740 secs] 13998K->9858K(15936K), 0.0023440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.747: [GC (Allocation Failure) 1.747: [DefNew: 4991K->392K(4992K), 0.0020541 secs] 14338K->9885K(15936K), 0.0021595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.782: [GC (Allocation Failure) 1.782: [DefNew: 4872K->437K(4992K), 0.0022401 secs] 14365K->10144K(15936K), 0.0022993 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.838: [GC (Allocation Failure) 1.838: [DefNew: 4917K->511K(4992K), 0.0025019 secs] 14624K->10571K(15936K), 0.0025748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.886: [GC (Allocation Failure) 1.886: [DefNew: 4991K->511K(4992K), 0.0029667 secs] 15051K->10941K(15936K), 0.0030242 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.947: [GC (Allocation Failure) 1.947: [DefNew: 4991K->512K(4992K), 0.0027097 secs] 15421K->11179K(15936K), 0.0027727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.987: [GC (Allocation Failure) 1.987: [DefNew: 4992K->459K(4992K), 0.0024041 secs] 15659K->11355K(15936K), 0.0024680 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.029: [GC (Allocation Failure) 2.029: [DefNew: 4920K->468K(4992K), 0.0024512 secs]2.031: [Tenured: 10988K->8369K(11072K), 0.0337460 secs] 15816K->8369K(16064K), [Metaspace: 16688K->16688K(17792K)], 0.0364029 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
